Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 32, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123374
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 18, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631596
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 19, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631604
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 20, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631618
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 21, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631627
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 22, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631634
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 23, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631644
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 24, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631512
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 25, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631613
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 217, Row: 2, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9034273414
