Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 300, Row: 31, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67eab258d4811782d3001417
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 140, Row: 39, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/6764fc77b98988f2db97d1a6
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 104, Row: 39, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/6764fc77b98988f2db97d1c3
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 308, Row: 40, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67eab26bd4811782d302d71e
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 306, Row: 40, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67eab256d4811782d3ffcc3b
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 327, Row: 40, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67eab248d4811782d3fd910d
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 309, Row: 34, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67eab25dd4811782d3012e0c
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 101, Row: 22, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e15d3ad4811782d3eb3366
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 107, Row: 39, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/6764fc76b98988f2db97bae6
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 137, Row: 39, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/6764fc75b98988f2db97a863
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 319, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e45e6bd4811782d3b46c17
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 320, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e45e98d4811782d3ba7806
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 318, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e45e5ed4811782d3b242ee
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 315, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e853ffd4811782d33584e7
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 314, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e45e59d4811782d3b16aab
