Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 319, Row: 12, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3203ad4811782d332514e
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 312, Row: 10, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67896fc25f5eedb9b578766b
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 315, Row: 32, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/6764fad0b98988f2db63a8c1
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 305, Row: 40, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ef475e0b271341d19a959f
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 323, Row: 32, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ef47b90b271341d1a595ad
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 318, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ef47160b271341d190c7e6
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 320, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ef472b0b271341d193b1bb
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 319, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ef48120b271341d1aecac8
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 316, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ef48500b271341d1b5f8a0
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 107, Row: 30, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32024d4811782d33046c7
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 106, Row: 29, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3202bd4811782d330f630
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 142, Row: 22, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32035d4811782d331eeec
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 108, Row: 32, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3203fd4811782d332fc16
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 136, Row: 36, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32049d4811782d3348617
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 137, Row: 32, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3204ad4811782d334ad71
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 139, Row: 25, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ea1dded4811782d351c570
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 141, Row: 21, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ee08fdd4811782d314c394
