Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 322, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9097626419
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 310, Row: 3, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9080640880
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 324, Row: 1, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8936807659
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 139, Row: 30, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9032522355
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 133, Row: 3, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8024663291
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9031549895
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 307, Row: 1, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8936888134
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 139, Row: 29, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9032522354
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 311, Row: 2, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9080640910
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 7, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8793074569
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 12, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9090733678
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 106, Row: 25, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8920864426
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 139, Row: 20, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8873634506
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 6, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8793074513
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 143, Row: 14, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8940611055
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 142, Row: 16, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9087720492
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 107, Row: 28, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8829729533
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 5, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8793074380
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 139, Row: 17, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9032521861
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 11, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8999243709
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 321, Row: 2, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9080640896
