Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 11, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555399
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555408
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555419
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 14, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555425
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 15, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555432
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 16, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555449
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 17, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555456
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 18, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555469
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 19, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555479
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 11, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435631
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 20, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555502
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435634
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 21, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555513
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 22, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555527
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435636
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 14, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435648
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 15, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435656
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 16, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435666
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 17, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435675
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 18, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435680
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 19, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435684
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 20, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435692
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 21, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8921435695
