Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 11, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9104743248
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9078632081
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 17, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103962202
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 4, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9099725543
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 314, Row: 12, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103632274
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 11, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105592972
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 12, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9104827035
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 11, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105499149
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 12, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105527439
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 13, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105799206
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 12, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105450736
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 29, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113920363
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 314, Row: 22, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113757646
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 6, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9092455966
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 30, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113795317
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 18, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103632205
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 17, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105672482
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 19, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105109073
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 7, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9106111327
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 7, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113913986
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 7, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105852305
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9066240387
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 15, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9030785295
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 106, Row: 37, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9062639404
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 29, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8936884005
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 1, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9111789564
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 1, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9089155848
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 2, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8936887901
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 2, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9062621529
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 1, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9062638105
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 32, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8981323232
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 16, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9031169759
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 12, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9113731524
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 104, Row: 22, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9109320163
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 22, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9100548427
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 33, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9108949543
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 23, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9109320224
