Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 332, Row: 24, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8924654035
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 332, Row: 25, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8924654101
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 105, Row: 18, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9034268461
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 318, Row: 6, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8941101516
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 308, Row: 9, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8829607695
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 313, Row: 1, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8731822474
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 111, Row: 7, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533781999
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 321, Row: 2, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936882872
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 140, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9032448858
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 142, Row: 15, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936885187
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 107, Row: 26, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936885010
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 111, Row: 6, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533781938
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 133, Row: 6, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533784372
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 143, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936622717
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 143, Row: 12, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936622767
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 108, Row: 21, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936620697
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 309, Row: 10, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8907567826
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 309, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8907567834
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 309, Row: 12, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8907567837
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 309, Row: 13, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8907567839
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 309, Row: 14, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8907567850
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 10, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8916248837
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8916248847
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 12, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8916248874
