Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 332, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9114151755
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 332, Row: 12, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944775
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 332, Row: 13, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944764
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 332, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944769
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 332, Row: 19, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9114173069
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 321, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936704546
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 307, Row: 1, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936705519
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 324, Row: 1, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936705619
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 325, Row: 1, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936705175
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 137, Row: 29, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936704597
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 140, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9022309240
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 311, Row: 2, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8937077033
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 110, Row: 8, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8960175085
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 111, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8909907979
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 309, Row: 9, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9055804674
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 309, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023942083
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 323, Row: 8, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9090109165
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 323, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9114151803
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 323, Row: 11, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9090134294
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 323, Row: 12, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9114157822
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 323, Row: 17, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9114157865
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 326, Row: 8, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944601
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 326, Row: 9, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944619
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 327, Row: 8, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944665
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 327, Row: 9, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944670
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 319, Row: 1, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8937076699
